account_id,district_id,frequency,date,Account_type
1573,63,Monthly,2021-12-29,Savings account
3276,1,Monthly,2021-12-29,Salary account
124,55,Monthly,2021-12-28,Salary account
3958,59,Monthly,2021-12-28,NRI account
777,30,Monthly,2021-12-28,Savings account
3025,25,Monthly,2021-12-27,Salary account
906,59,Monthly,2021-12-27,NRI account
845,14,Monthly,2021-12-27,Savings account
3048,74,weekly,2021-12-26,Salary account
1983,54,Monthly,2021-12-25,NRI account
727,35,Monthly,2021-12-25,NRI account
4332,74,Monthly,2021-12-23,NRI account
564,5,Monthly,2021-12-23,NRI account
3934,6,Monthly,2021-12-23,NRI account
1318,56,Monthly,2021-12-22,Salary account
889,43,Monthly,2021-12-22,NRI account
3385,1,Monthly,2021-12-21,Salary account
703,54,Monthly,2021-12-21,Savings account
1177,27,Monthly,2021-12-20,Salary account
246,65,Monthly,2021-12-20,Salary account
1171,18,Monthly,2021-12-20,NRI account
3187,59,Monthly,2021-12-20,Salary account
2791,25,Monthly,2021-12-19,Savings account
3169,19,Monthly,2021-12-19,Savings account
2049,67,Monthly,2021-12-19,Savings account
758,51,Monthly,2021-12-19,Salary account
2440,19,Monthly,2021-12-18,NRI account
1186,64,Monthly,2021-12-17,NRI account
3911,32,Monthly,2021-12-16,Salary account
3992,43,Monthly,2021-12-16,Savings account
579,1,Monthly,2021-12-16,NRI account
2892,64,Monthly,2021-12-16,Savings account
3616,50,Monthly,2021-12-15,NRI account
938,70,Monthly,2021-12-13,Savings account
3501,36,Monthly,2021-12-13,Salary account
2820,36,Monthly,2021-12-11,NRI account
3033,69,Monthly,2021-12-10,NRI account
3174,65,Monthly,2021-12-10,Savings account
134,34,Monthly,2021-12-10,Salary account
1229,46,Monthly,2021-12-10,Salary account
3209,45,Monthly,2021-12-10,Salary account
1072,65,Monthly,2021-12-09,NRI account
1156,59,Monthly,2021-12-09,Salary account
3836,68,Monthly,2021-12-09,Salary account
3013,73,Monthly,2021-12-09,NRI account
673,31,Monthly,2021-12-08,Savings account
3406,53,Monthly,2021-12-08,Salary account
2796,5,weekly,2021-12-08,Salary account
2775,30,Monthly,2021-12-08,Savings account
276,38,Monthly,2021-12-08,Savings account
315,45,Monthly,2021-12-08,NRI account
3722,76,Monthly,2021-12-07,Salary account
736,75,Monthly,2021-12-07,Salary account
2787,1,Monthly,2021-12-07,NRI account
21,54,Monthly,2021-12-06,Salary account
1650,39,Monthly,2021-12-06,Savings account
800,11,Monthly,2021-12-06,Savings account
3415,75,Monthly,2021-12-06,NRI account
2918,15,suance after a transaction,2021-12-05,NRI account
4140,28,Monthly,2021-12-05,NRI account
1960,31,Monthly,2021-12-04,NRI account
1049,18,Monthly,2021-12-04,NRI account
298,35,Monthly,2021-12-02,Savings account
1717,67,Monthly,2021-12-02,NRI account
10005,64,Monthly,2021-11-29,Salary account
4386,51,weekly,2021-11-29,Salary account
1868,16,weekly,2021-11-29,Savings account
232,45,Monthly,2021-11-29,Savings account
1798,46,Monthly,2021-11-28,Savings account
421,75,Monthly,2021-11-27,NRI account
3715,74,Monthly,2021-11-27,Savings account
934,9,Monthly,2021-11-27,Savings account
3333,44,Monthly,2021-11-27,Salary account
215,31,Monthly,2021-11-25,Salary account
1523,52,suance after a transaction,2021-11-24,NRI account
3102,33,Monthly,2021-11-23,Savings account
295,66,Monthly,2021-11-23,NRI account
2979,10,Monthly,2021-11-22,Savings account
2850,57,Monthly,2021-11-22,Savings account
2832,12,Monthly,2021-11-22,Salary account
3105,37,Monthly,2021-11-21,Savings account
2162,50,Monthly,2021-11-21,NRI account
1125,1,weekly,2021-11-21,Savings account
3382,23,weekly,2021-11-20,Savings account
2125,43,weekly,2021-11-20,NRI account
3396,1,Monthly,2021-11-20,Salary account
3365,11,Monthly,2021-11-18,Savings account
2693,17,Monthly,2021-11-17,NRI account
1866,4,Monthly,2021-11-17,Savings account
149,43,Monthly,2021-11-16,NRI account
3082,33,Monthly,2021-11-16,NRI account
3156,1,suance after a transaction,2021-11-16,Salary account
2438,71,Monthly,2021-11-16,Salary account
1833,54,Monthly,2021-11-15,Salary account
2221,58,Monthly,2021-11-15,NRI account
2658,27,Monthly,2021-11-14,Salary account
2721,74,Monthly,2021-11-14,NRI account
2920,73,Monthly,2021-11-13,Savings account
566,8,Monthly,2021-11-13,Savings account
1245,68,Monthly,2021-11-12,NRI account
1348,55,Monthly,2021-11-12,Savings account
3423,11,Monthly,2021-11-10,Salary account
2831,1,Monthly,2021-11-10,Savings account
2211,61,suance after a transaction,2021-11-10,Salary account
3360,71,Monthly,2021-11-10,Salary account
952,41,Monthly,2021-11-09,Savings account
696,54,Monthly,2021-11-09,NRI account
2998,21,Monthly,2021-11-09,Salary account
867,60,Monthly,2021-11-09,NRI account
1208,4,Monthly,2021-11-09,Savings account
2391,2,Monthly,2021-11-07,NRI account
1140,49,Monthly,2021-11-07,Salary account
644,4,Monthly,2021-11-06,NRI account
2402,18,Monthly,2021-11-06,NRI account
3395,16,Monthly,2021-11-05,NRI account
2296,29,Monthly,2021-11-05,Savings account
10613,55,Monthly,2021-11-04,Salary account
606,75,Monthly,2021-11-04,NRI account
9227,51,Monthly,2021-11-04,NRI account
1723,70,Monthly,2021-11-04,Salary account
3404,33,Monthly,2021-11-04,Savings account
1657,12,Monthly,2021-11-04,Salary account
639,1,Monthly,2021-11-03,NRI account
3325,11,Monthly,2021-11-03,NRI account
1703,72,Monthly,2021-11-02,Savings account
3598,76,Monthly,2021-11-02,Savings account
782,42,Monthly,2021-10-30,Salary account
2784,40,Monthly,2021-10-30,NRI account
671,60,Monthly,2021-10-29,Salary account
643,64,Monthly,2021-10-28,Savings account
1340,52,Monthly,2021-10-28,NRI account
2703,61,Monthly,2021-10-28,Savings account
2413,33,Monthly,2021-10-27,Savings account
3963,9,Monthly,2021-10-27,Salary account
876,4,Monthly,2021-10-26,Salary account
1172,6,Monthly,2021-10-25,Savings account
398,69,Monthly,2021-10-24,NRI account
2174,18,Monthly,2021-10-24,Savings account
3705,20,Monthly,2021-10-24,Salary account
1209,23,Monthly,2021-10-23,NRI account
2371,15,weekly,2021-10-23,Salary account
852,57,Monthly,2021-10-23,Savings account
2152,22,Monthly,2021-10-23,Savings account
3857,54,Monthly,2021-10-22,Salary account
156,64,Monthly,2021-10-22,Savings account
3922,68,Monthly,2021-10-22,NRI account
2910,68,Monthly,2021-10-21,NRI account
2756,24,Monthly,2021-10-21,Savings account
1572,72,Monthly,2021-10-21,NRI account
1615,1,Monthly,2021-10-20,Salary account
2311,28,Monthly,2021-10-19,NRI account
2556,46,Monthly,2021-10-19,Savings account
961,1,Monthly,2021-10-18,Savings account
2579,24,Monthly,2021-10-18,Savings account
3919,34,Monthly,2021-10-18,NRI account
3875,44,Monthly,2021-10-18,NRI account
550,24,Monthly,2021-10-17,Savings account
3324,3,Monthly,2021-10-17,Salary account
1061,44,Monthly,2021-10-17,Salary account
2215,48,Monthly,2021-10-17,Salary account
2053,5,Monthly,2021-10-16,NRI account
3561,33,Monthly,2021-10-15,Salary account
1807,21,Monthly,2021-10-15,NRI account
11327,7,Monthly,2021-10-15,NRI account
2231,2,Monthly,2021-10-14,Salary account
966,15,Monthly,2021-10-14,Salary account
1968,16,weekly,2021-10-14,NRI account
2879,15,Monthly,2021-10-14,NRI account
3023,35,Monthly,2021-10-14,Savings account
1279,28,Monthly,2021-10-13,NRI account
502,1,Monthly,2021-10-13,Salary account
1506,51,Monthly,2021-10-13,Savings account
5708,64,weekly,2021-10-12,NRI account
7049,69,Monthly,2021-10-12,NRI account
121,55,Monthly,2021-10-11,NRI account
1727,9,Monthly,2021-10-11,Savings account
2097,46,Monthly,2021-10-11,Savings account
133,64,weekly,2021-10-11,Savings account
2897,51,Monthly,2021-10-11,Savings account
745,43,Monthly,2021-10-09,Salary account
3813,1,Monthly,2021-10-09,NRI account
1342,9,Monthly,2021-10-09,Savings account
2069,72,Monthly,2021-10-08,Savings account
205,1,Monthly,2021-10-08,Savings account
1150,29,Monthly,2021-10-08,Salary account
1608,26,Monthly,2021-10-08,Salary account
1494,1,Monthly,2021-10-08,NRI account
2272,48,Monthly,2021-10-08,Savings account
2634,45,Monthly,2021-10-08,Savings account
4143,55,Monthly,2021-10-07,Salary account
2133,11,Monthly,2021-10-07,Salary account
3342,59,Monthly,2021-10-06,NRI account
2715,42,Monthly,2021-10-06,Salary account
1596,70,Monthly,2021-10-05,NRI account
4116,6,Monthly,2021-10-05,NRI account
3401,38,weekly,2021-10-04,Salary account
2036,70,Monthly,2021-10-03,NRI account
6866,14,Monthly,2021-10-02,Savings account
4132,36,Monthly,2021-10-02,Savings account
2136,75,Monthly,2021-10-02,Savings account
2370,51,Monthly,2021-10-01,Savings account
1379,47,Monthly,2021-10-01,NRI account
1313,45,Monthly,2021-10-01,NRI account
129,74,Monthly,2021-10-01,Savings account
2007,45,Monthly,2021-09-29,Savings account
1064,70,Monthly,2021-09-29,NRI account
7274,11,Monthly,2021-09-28,NRI account
3383,29,Monthly,2021-09-28,NRI account
2461,1,Monthly,2021-09-28,Salary account
3916,8,Monthly,2021-09-28,NRI account
2745,60,Monthly,2021-09-28,NRI account
10152,34,Monthly,2021-09-28,NRI account
2846,1,Monthly,2021-09-27,NRI account
1443,54,Monthly,2021-09-27,NRI account
1992,48,Monthly,2021-09-27,NRI account
755,38,Monthly,2021-09-27,NRI account
