client_id,birth_date,gender,district_id
1,1999-02-13,Male,18
2,1969-02-04,Female,1
3,1968-12-09,Male,1
4,1980-12-01,Male,5
5,1988-09-03,Male,5
6,1943-09-22,Female,12
7,1953-01-25,Male,15
8,1966-04-21,Male,51
9,1959-10-16,Female,60
10,1967-05-01,Male,57
11,1978-10-22,Female,57
12,2005-02-20,Female,40
13,2002-07-29,Male,54
14,1970-08-22,Female,76
15,1946-10-28,Female,21
16,1943-02-25,Male,21
17,1958-10-13,Male,76
18,1959-06-05,Male,76
19,1966-12-28,Female,47
20,2003-01-04,Female,46
21,1980-12-29,Male,12
22,1997-12-11,Male,1
23,1997-05-29,Male,1
24,1967-09-29,Male,43
25,1967-06-23,Male,21
26,1997-06-20,Female,74
27,1994-05-26,Female,54
28,1969-09-29,Male,1
29,1979-11-11,Male,30
30,1985-12-09,Male,74
31,1986-02-09,Male,68
32,2004-07-28,Female,52
33,1977-02-04,Female,73
36,2006-09-17,Male,7
37,1994-08-10,Female,7
38,2001-09-23,Male,36
39,1992-01-25,Male,68
40,1985-03-22,Female,5
41,1992-08-27,Male,22
42,1959-08-17,Male,68
43,1944-10-28,Female,75
44,2005-03-11,Male,38
45,1976-08-26,Female,20
46,1968-03-30,Female,19
47,1958-07-14,Female,76
48,1964-02-09,Male,16
49,1987-07-11,Male,72
50,2006-09-30,Female,39
51,2008-02-02,Female,36
52,1948-12-12,Female,32
53,2001-05-05,Male,64
55,1976-11-18,Female,45
56,1984-03-31,Male,21
57,1990-02-17,Male,21
58,1955-06-29,Male,1
59,1981-02-18,Female,1
60,2004-02-19,Male,67
61,1976-10-06,Female,16
62,1956-12-08,Female,77
63,1983-06-04,Female,4
64,1950-04-22,Female,20
65,1971-07-27,Male,50
66,1980-01-10,Female,1
67,1961-01-11,Male,29
68,1970-12-14,Female,43
70,1949-12-22,Female,70
71,1955-04-06,Female,70
72,1947-01-13,Male,47
73,1948-02-20,Female,22
74,1953-09-26,Female,22
75,2005-11-19,Male,64
76,1995-12-01,Male,36
77,1984-04-18,Female,1
78,1972-08-13,Male,16
79,1997-05-10,Female,37
80,2007-04-25,Male,64
81,2000-04-29,Male,8
82,2008-02-25,Male,8
83,2007-02-25,Male,1
84,2003-05-05,Male,1
85,1985-08-27,Male,1
86,1997-09-20,Female,1
87,1975-01-17,Male,72
89,1979-07-05,Male,1
90,1999-08-17,Male,52
91,1964-08-07,Male,63
92,1994-08-12,Female,74
93,1949-02-16,Female,3
94,1971-09-09,Male,43
95,1980-10-03,Male,43
96,1996-02-29,Male,74
97,1989-11-28,Female,26
98,2001-07-04,Female,33
99,1997-01-26,Female,33
100,1970-10-11,Male,44
101,1967-01-23,Male,68
102,1986-11-10,Female,74
103,1979-07-11,Male,74
105,2004-05-26,Female,31
106,1997-03-02,Female,68
107,1996-06-23,Male,1
108,1987-09-13,Male,17
110,1995-06-13,Male,2
112,1959-01-25,Male,1
113,1968-10-15,Male,1
114,1997-08-24,Female,74
115,1993-12-24,Female,74
116,1966-01-28,Female,74
117,1964-11-20,Female,74
118,1946-07-19,Male,55
119,1950-04-28,Female,55
120,2000-05-10,Female,1
121,2006-12-29,Male,41
122,1992-01-13,Male,35
123,1993-02-12,Female,11
124,1991-09-21,Male,44
125,1960-10-31,Male,37
126,1957-11-27,Male,37
127,1979-02-27,Male,21
128,2001-06-04,Female,63
129,1975-07-31,Male,64
130,1966-02-14,Female,53
131,2005-03-31,Male,53
132,1977-01-26,Female,36
134,1956-01-18,Female,6
135,1966-11-10,Female,6
