loan_id,account_id,date,amount,duration,payments,strunning contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlemtus
5314,1787,930705,96396,12,8033,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt loan not payerunning contract client in debt
5316,1801,930711,165960,36,4610,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
6863,9188,930728,127080,60,2118,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
5325,1843,930803,105804,36,2939,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
7240,11013,930906,274740,60,4579,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
6687,8261,930913,87840,24,3660,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
7284,11265,930915,52788,12,4399,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
6111,5428,930924,174744,24,7281,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt loan not payerunning contract client in debt
7235,10973,931013,154416,48,3217,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
5997,4894,931104,117024,24,4876,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
7121,10364,931110,21924,36,609,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
6077,5270,931122,79608,24,3317,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
6228,6034,931201,464520,60,7742,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt loan not payerunning contract client in debt
6356,6701,931208,95400,36,2650,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
5523,2705,931208,93888,36,2608,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
6456,7123,931209,47016,12,3918,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
7104,10320,931213,259740,60,4329,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
6820,9034,931216,38148,12,3179,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
6876,9236,931221,86616,12,7218,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
7097,10266,931223,75624,24,3151,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt loan not payerunning contract client in debt
4959,2,940105,80952,24,3373,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
6499,7401,940105,80952,24,3373,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
5479,2486,940110,24516,12,2043,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
5170,1071,940120,253200,60,4220,running contract  OK 
6721,8475,940121,21072,24,878,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
7259,11111,940131,108144,36,3004,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
5285,1603,940206,78936,12,6578,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
5189,1166,940207,149040,48,3105,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
6650,8073,940217,49320,12,4110,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt loan not payerunning contract client in debt
7226,10940,940223,197748,36,5493,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
6087,5313,940227,300660,60,5011,running contract  OK 
7262,11135,940301,182628,36,5073,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
5519,2694,940308,91632,12,7636,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
6577,7753,940311,51696,24,2154,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
6509,7445,940315,55368,24,2307,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
6520,7485,940316,91200,24,3800,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
6699,8330,940330,7656,24,319,running contract  OK ontrarunning contract  OK t finisherunning contract client in debt no pronlem
